sample_id	tested_genes	empirical_outliers_alpha_005	absolute_outliers
OM00762	14339	0	78
OM00881	14343	0	28
OM01130	14352	0	12
OM01282	14353	0	55
OM02364	14361	0	9
OM02412	14408	0	11
OM03592	14395	0	109
OM04338	14381	0	12
OM05166	14349	0	18
OM05252	14351	0	61
OM06339	14341	0	15
OM06865	14381	0	83
OM07111	14336	0	6
OM10508	14380	0	20
OM10641	14347	0	42
OM11815	14376	0	13
OM12102	14431	0	11
OM13378	14342	0	23
OM14157	14301	0	12
OM14461	14319	0	4
OM15187	14361	0	17
OM15663	14385	0	13
OM15760	14320	0	12
OM16162	14307	0	14
OM16302	14334	0	21
OM17283	14371	0	434
OM17530	14350	0	25
OM18763	14289	0	104
OM20348	14392	0	27
OM20680	14402	0	90
OM21111	14354	0	33
OM23417	14365	0	11
OM25068	14373	0	50
OM26649	14343	0	230
OM27175	14326	0	28
OM27390	14318	0	3
OM27424	14297	0	106
OM28140	14439	0	28
OM28497	14352	0	76
OM28784	14394	0	53
OM29763	14331	0	11
OM30085.2	14439	0	30
OM30476	14343	0	22
OM30836	14356	0	6
OM32691	14401	0	7
OM33917	14370	0	56
OM33981	14337	0	14
OM34676	14353	0	90
OM34814	14368	0	10
OM35261	14363	0	18
OM35654	14372	0	13
OM36055	14343	0	244
OM36463	14342	0	10
OM36526	14400	0	55
OM36694	14430	0	14
OM36760	14387	0	18
OM36981	14434	0	28
OM37109	14395	0	10
OM37464	14328	0	10
OM38813	14393	0	97
OM39519	14346	0	40
OM40423	14333	0	6
OM40565	14302	0	24
OM41016	14385	0	16
OM42124	14325	0	12
OM42562	14387	0	14
OM43933	14415	0	117
OM45689	14429	0	11
OM45823	14390	0	5
OM46241	14315	0	35
OM47664	14345	0	90
OM48652	14332	0	105
OM48820	14348	0	71
OM49209	14467	0	13
OM49333	14471	0	10
OM49736	14347	0	35
OM50946	14333	0	15
OM50974	14419	0	15
OM52277	14315	0	29
OM52618	14420	0	23
OM53308	14375	0	6
OM54862	14335	0	177
OM55264	14312	0	46
OM55346	14331	0	2
OM56476	14380	0	14
OM56505	14427	0	21
OM56706	14295	0	16
OM57274	14363	0	111
OM57837	14367	0	6
OM58230	14385	0	13
OM59244	14408	0	37
OM60894	14328	0	4
OM61169	14372	0	11
OM61355	14352	0	55
OM61986	14396	0	23
OM63071	14366	0	5
OM65117	14341	0	35
OM65380	14336	0	19
OM65708	14403	0	19
OM65728	14361	0	58
OM66072	14325	0	14
OM68216	14337	0	20
OM68633	14404	0	17
OM69964	14359	0	35
OM70698	14357	0	40
OM70822	14410	0	28
OM71616	14338	0	25
OM71746	14380	0	84
OM72339	14338	0	10
OM72361	14373	0	5
OM72697	14330	0	63
OM73546	14360	0	89
OM73896	14360	0	117
OM73953	14349	0	8
OM74919	14437	0	22
OM75219_1	14412	0	102
OM75740	14377	0	21
OM77127	14392	0	122
OM77629	14313	0	84
OM78873	14356	0	10
OM79510	14426	0	23
OM79535	14310	0	15
OM80431	14396	0	14
OM81045	14397	0	10
OM82277	14318	0	3
OM84535	14436	0	16
OM84659	14445	0	21
OM85000	14332	0	100
OM85279	14256	0	96
OM85406	14374	0	3
OM87369	14364	0	11
OM88146	14372	0	44
OM88470	14338	0	83
OM88728	14381	0	26
OM90154	14289	0	17
OM90682	14337	0	13
OM91786	14336	0	49
OM91816	14419	0	14
OM92216	14402	0	16
OM92438	14387	0	32
OM92985	14381	0	11
OM93206	14311	0	20
OM94191	14397	0	17
OM94976	14361	0	7
OM96588	14357	0	44
OM99824	14294	0	35
